Country,trending_date,views
Japan,18.07.02,188085
Japan,18.07.02,90929
Japan,18.07.02,6408303
Japan,18.07.02,96255
Japan,18.07.02,108408
Japan,18.07.02,193593
Japan,18.07.02,55465
Japan,18.07.02,66272
Japan,18.07.02,57820
Japan,18.07.02,105112
Japan,18.07.02,76621
Japan,18.07.02,245032
Japan,18.07.02,37906
Japan,18.07.02,120824
Japan,18.07.02,1649451
Japan,18.07.02,23572
Japan,18.07.02,34020
Japan,18.07.02,121271
Japan,18.07.02,51006
Japan,18.07.02,98294
Japan,18.07.02,43853
Japan,18.07.02,28545
Japan,18.07.02,18025
Japan,18.07.02,12637
Japan,18.07.02,91931
Japan,18.07.02,12908071
Japan,18.07.02,60140
Japan,18.07.02,9854
Japan,18.07.02,23903
Japan,18.07.02,12463
Japan,18.07.02,5815
Japan,18.07.02,10352
Japan,18.07.02,188085
Japan,18.07.02,90929
Japan,18.07.02,6408303
Japan,18.07.02,108408
Japan,18.07.02,96255
Japan,18.07.02,193593
Japan,18.07.02,55465
Japan,18.07.02,66272
Japan,18.07.02,57820
Japan,18.07.02,105112
Japan,18.07.02,76621
Japan,18.07.02,245032
Japan,18.07.02,37906
Japan,18.07.02,120824
Japan,18.07.02,1649451
Japan,18.07.02,23572
Japan,18.07.02,34020
Japan,18.07.02,121271
Japan,18.07.02,51006
Japan,18.07.02,98294
Japan,18.07.02,43853
Japan,18.07.02,28545
Japan,18.07.02,18025
Japan,18.07.02,12637
Japan,18.07.02,91931
Japan,18.07.02,12908071
Japan,18.07.02,60140
Japan,18.07.02,9854
Japan,18.07.02,23903
Japan,18.07.02,12463
Japan,18.07.02,5815
Japan,18.07.02,10352
Japan,18.07.02,188085
Japan,18.07.02,90929
Japan,18.07.02,6408303
Japan,18.07.02,108408
Japan,18.07.02,96255
Japan,18.07.02,193593
Japan,18.07.02,55465
Japan,18.07.02,66272
Japan,18.07.02,57820
Japan,18.07.02,105112
Japan,18.07.02,76621
Japan,18.07.02,245032
Japan,18.07.02,37906
Japan,18.07.02,120824
Japan,18.07.02,1649451
Japan,18.07.02,23572
Japan,18.07.02,34020
Japan,18.07.02,121271
Japan,18.07.02,51006
Japan,18.07.02,98294
Japan,18.07.02,43853
Japan,18.07.02,28545
Japan,18.07.02,18025
Japan,18.07.02,12637
Japan,18.07.02,91931
Japan,18.07.02,12908071
Japan,18.07.02,60140
Japan,18.07.02,9854
Japan,18.07.02,23903
Japan,18.07.02,12463
Japan,18.07.02,5815
Japan,18.07.02,10352
Japan,18.07.02,188085
Japan,18.07.02,90929
Japan,18.07.02,6408303
Japan,18.07.02,108408
Japan,18.07.02,96255
Japan,18.07.02,193593
Japan,18.07.02,55465
Japan,18.07.02,66272
Japan,18.07.02,57820
Japan,18.07.02,105112
Japan,18.07.02,76621
Japan,18.07.02,245032
Japan,18.07.02,37906
Japan,18.07.02,120824
Japan,18.07.02,1649451
Japan,18.07.02,23572
Japan,18.07.02,34020
Japan,18.07.02,121271
Japan,18.07.02,51006
Japan,18.07.02,98294
Japan,18.07.02,43853
Japan,18.07.02,28545
Japan,18.07.02,18025
Japan,18.07.02,12637
Japan,18.07.02,91931
Japan,18.07.02,12908071
Japan,18.07.02,60140
Japan,18.07.02,9854
Japan,18.07.02,23903
Japan,18.07.02,12463
Japan,18.07.02,5815
Japan,18.07.02,10352
Japan,18.08.02,14816949
Japan,18.08.02,136365
Japan,18.08.02,137962
Japan,18.08.02,1306752
Japan,18.08.02,444621
Japan,18.08.02,53781
Japan,18.08.02,79505
Japan,18.08.02,207610
Japan,18.08.02,198340
Japan,18.08.02,223565
Japan,18.08.02,34854
Japan,18.08.02,88496
Japan,18.08.02,7113
Japan,18.08.02,13608
Japan,18.08.02,21744
Japan,18.08.02,10467
Japan,18.08.02,10616
Japan,18.08.02,118337
Japan,18.08.02,127915
Japan,18.08.02,2314506
Japan,18.08.02,61152
Japan,18.08.02,14834
Japan,18.08.02,312569
Japan,18.08.02,57668
Japan,18.08.02,25669
Japan,18.08.02,41437
Japan,18.08.02,63490
Japan,18.08.02,14346
Japan,18.08.02,344412
Japan,18.08.02,95266
Japan,18.08.02,132727
Japan,18.08.02,62836
Japan,18.08.02,122972
Japan,18.08.02,7634
Japan,18.08.02,72459
Japan,18.08.02,31013
Japan,18.08.02,114223
Japan,18.08.02,957641
Japan,18.08.02,223959
Japan,18.08.02,7757
Japan,18.08.02,156835
Japan,18.08.02,12442
Japan,18.08.02,10068
Japan,18.08.02,7198
Japan,18.08.02,14816949
Japan,18.08.02,136365
Japan,18.08.02,137962
Japan,18.08.02,1306752
Japan,18.08.02,444621
Japan,18.08.02,53781
Japan,18.08.02,79505
Japan,18.08.02,207610
Japan,18.08.02,198340
Japan,18.08.02,223565
Japan,18.08.02,34854
Japan,18.08.02,88496
Japan,18.08.02,7113
Japan,18.08.02,13608
Japan,18.08.02,21744
Japan,18.08.02,10467
Japan,18.08.02,10616
Japan,18.08.02,118337
Japan,18.08.02,127915
Japan,18.08.02,2314506
Japan,18.08.02,61152
Japan,18.08.02,14834
Japan,18.08.02,312569
Japan,18.08.02,57668
Japan,18.08.02,25669
Japan,18.08.02,41437
Japan,18.08.02,63490
Japan,18.08.02,14346
Japan,18.08.02,344412
Japan,18.08.02,95266
Japan,18.08.02,132727
Japan,18.08.02,62836
Japan,18.08.02,122972
Japan,18.08.02,7634
Japan,18.08.02,72459
Japan,18.08.02,31013
Japan,18.08.02,114223
Japan,18.08.02,957641
Japan,18.08.02,223959
Japan,18.08.02,7757
Japan,18.08.02,156835
Japan,18.08.02,12442
Japan,18.08.02,10068
Japan,18.08.02,7198
Japan,18.08.02,14816949
Japan,18.08.02,136365
Japan,18.08.02,137962
Japan,18.08.02,1306752
Japan,18.08.02,444621
Japan,18.08.02,53781
Japan,18.08.02,79505
Japan,18.08.02,207610
Japan,18.08.02,198340
Japan,18.08.02,223565
Japan,18.08.02,34854
Japan,18.08.02,88496
Japan,18.08.02,7113
Japan,18.08.02,13608
Japan,18.08.02,21744
Japan,18.08.02,10467
Japan,18.08.02,10616
Japan,18.08.02,118337
Japan,18.08.02,127915
Japan,18.08.02,2314506
Japan,18.08.02,61152
Japan,18.08.02,14834
Japan,18.08.02,312569
Japan,18.08.02,57668
Japan,18.08.02,25669
Japan,18.08.02,41437
Japan,18.08.02,63490
Japan,18.08.02,14346
Japan,18.08.02,344412
Japan,18.08.02,95266
Japan,18.08.02,132727
Japan,18.08.02,62836
Japan,18.08.02,122972
Japan,18.08.02,7634
Japan,18.08.02,72459
Japan,18.08.02,31013
Japan,18.08.02,114223
Japan,18.08.02,957641
Japan,18.08.02,223959
Japan,18.08.02,7757
Japan,18.08.02,156835
Japan,18.08.02,12442
Japan,18.08.02,10068
Japan,18.08.02,7198
Japan,18.08.02,14816949
Japan,18.08.02,136365
Japan,18.08.02,137962
Japan,18.08.02,1306752
Japan,18.08.02,444621
Japan,18.08.02,53781
Japan,18.08.02,79505
Japan,18.08.02,207610
Japan,18.08.02,198340
Japan,18.08.02,223565
Japan,18.08.02,34854
Japan,18.08.02,88496
Japan,18.08.02,7113
Japan,18.08.02,13608
Japan,18.08.02,21744
Japan,18.08.02,10467
Japan,18.08.02,10616
Japan,18.08.02,118337
Japan,18.08.02,127915
Japan,18.08.02,2314506
Japan,18.08.02,61152
Japan,18.08.02,14834
Japan,18.08.02,312569
Japan,18.08.02,57668
Japan,18.08.02,25669
Japan,18.08.02,41437
Japan,18.08.02,63490
Japan,18.08.02,14346
Japan,18.08.02,344412
Japan,18.08.02,95266
Japan,18.08.02,132727
Japan,18.08.02,62836
Japan,18.08.02,122972
Japan,18.08.02,7634
Japan,18.08.02,72459
Japan,18.08.02,31013
Japan,18.08.02,114223
Japan,18.08.02,957641
Japan,18.08.02,223959
Japan,18.08.02,7757
Japan,18.08.02,156835
Japan,18.08.02,12442
Japan,18.08.02,10068
Japan,18.08.02,7198
Japan,18.09.02,33053
Japan,18.09.02,31920
Japan,18.09.02,59100
Japan,18.09.02,26050
Japan,18.09.02,112230
Japan,18.09.02,343253
Japan,18.09.02,230830
Japan,18.09.02,293449
Japan,18.09.02,38067
Japan,18.09.02,19255
Japan,18.09.02,16608
Japan,18.09.02,113779
Japan,18.09.02,7857
Japan,18.09.02,53963
Japan,18.09.02,37037
Japan,18.09.02,135238
Japan,18.09.02,452195
Japan,18.09.02,108568
Japan,18.09.02,292922
Japan,18.09.02,191091
Japan,18.09.02,6964
Japan,18.09.02,2476
Japan,18.09.02,18407
Japan,18.09.02,155479
Japan,18.09.02,35881
Japan,18.09.02,3136
Japan,18.09.02,7331
Japan,18.09.02,11028
Japan,18.09.02,6998
Japan,18.09.02,157029
Japan,18.09.02,88607
Japan,18.09.02,14837
Japan,18.09.02,91475
Japan,18.09.02,92767
Japan,18.09.02,17161
Japan,18.09.02,25912
Japan,18.09.02,21397
Japan,18.09.02,112678
Japan,18.09.02,12122
Japan,18.09.02,54059
Japan,18.09.02,391633
Japan,18.09.02,101246
Japan,18.09.02,5599238
Japan,18.09.02,28507
Japan,18.09.02,120326
Japan,18.09.02,12073
Japan,18.09.02,2524
Japan,18.09.02,140080
Japan,18.09.02,9728
Japan,18.09.02,2066
Japan,18.09.02,31035
Japan,18.09.02,5867
Japan,18.09.02,18541
Japan,18.09.02,26011
Japan,18.09.02,118121
Japan,18.09.02,4130
Japan,18.09.02,2455067
Japan,18.09.02,1715
Japan,18.09.02,3077741
Japan,18.09.02,54903
Japan,18.09.02,17433
Japan,18.09.02,133724
Japan,18.09.02,73757
Japan,18.09.02,47210
Japan,18.09.02,70091
Japan,18.09.02,12914
Japan,18.09.02,120011
Japan,18.09.02,16261
Japan,18.09.02,18297
Japan,18.09.02,65290
Japan,18.09.02,71599
Japan,18.09.02,9946
Japan,18.09.02,9103
Japan,18.09.02,81943
Japan,18.09.02,870553
Japan,18.09.02,13886
Japan,18.09.02,34655
Japan,18.09.02,10296
Japan,18.09.02,10519
Japan,18.09.02,7651
Japan,18.09.02,3668
Japan,18.09.02,9105
Japan,18.09.02,14988
Japan,18.09.02,85283
Japan,18.09.02,23317
Japan,18.09.02,1348724
Japan,18.09.02,45352
Japan,18.09.02,593812
Japan,18.09.02,206032
Japan,18.09.02,8016
Japan,18.09.02,75223
Japan,18.09.02,14379
Japan,18.09.02,29290
Japan,18.09.02,19128
Japan,18.09.02,28467
Japan,18.09.02,55953
Japan,18.09.02,6139
Japan,18.09.02,47622
Japan,18.09.02,8287
Japan,18.09.02,46031
Japan,18.09.02,11112
Japan,18.09.02,65430
Japan,18.09.02,41086
Japan,18.09.02,9316
Japan,18.09.02,5982
Japan,18.09.02,12696
Japan,18.09.02,71431
Japan,18.09.02,109651
Japan,18.09.02,3772
Japan,18.09.02,12718
Japan,18.09.02,289942
Japan,18.09.02,21481
Japan,18.09.02,97847
Japan,18.09.02,148471
